work_id,expert_id,criterion,score
image01,E1,C1,7
image01,E1,C2,5
image01,E1,C3,7
image01,E1,C4,7
image01,E1,C5,6
image02,E1,C1,7
image02,E1,C2,4
image02,E1,C3,5
image02,E1,C4,7
image02,E1,C5,5
image03,E1,C1,7
image03,E1,C2,5
image03,E1,C3,6
image03,E1,C4,7
image03,E1,C5,6
image04,E1,C1,6
image04,E1,C2,5
image04,E1,C3,6
image04,E1,C4,7
image04,E1,C5,6
image05,E1,C1,7
image05,E1,C2,6
image05,E1,C3,6
image05,E1,C4,6
image05,E1,C5,7
image06,E1,C1,6
image06,E1,C2,6
image06,E1,C3,6
image06,E1,C4,6
image06,E1,C5,5
image07,E1,C1,5
image07,E1,C2,5
image07,E1,C3,5
image07,E1,C4,4
image07,E1,C5,5
image08,E1,C1,6
image08,E1,C2,7
image08,E1,C3,5
image08,E1,C4,6
image08,E1,C5,6
image09,E1,C1,6
image09,E1,C2,5
image09,E1,C3,6
image09,E1,C4,6
image09,E1,C5,5
image10,E1,C1,5
image10,E1,C2,5
image10,E1,C3,5
image10,E1,C4,4
image10,E1,C5,5
image11,E1,C1,4
image11,E1,C2,4
image11,E1,C3,5
image11,E1,C4,4
image11,E1,C5,4
image12,E1,C1,4
image12,E1,C2,4
image12,E1,C3,5
image12,E1,C4,4
image12,E1,C5,4
image13,E1,C1,5
image13,E1,C2,5
image13,E1,C3,5
image13,E1,C4,5
image13,E1,C5,5
image14,E1,C1,6
image14,E1,C2,6
image14,E1,C3,5
image14,E1,C4,6
image14,E1,C5,6
image15,E1,C1,5
image15,E1,C2,5
image15,E1,C3,5
image15,E1,C4,5
image15,E1,C5,6
image16,E1,C1,4
image16,E1,C2,5
image16,E1,C3,5
image16,E1,C4,4
image16,E1,C5,4
image17,E1,C1,4
image17,E1,C2,4
image17,E1,C3,6
image17,E1,C4,6
image17,E1,C5,4
image18,E1,C1,6
image18,E1,C2,5
image18,E1,C3,4
image18,E1,C4,6
image18,E1,C5,6
image19,E1,C1,5
image19,E1,C2,6
image19,E1,C3,5
image19,E1,C4,5
image19,E1,C5,5
image20,E1,C1,5
image20,E1,C2,4
image20,E1,C3,4
image20,E1,C4,5
image20,E1,C5,4
image21,E1,C1,6
image21,E1,C2,5
image21,E1,C3,6
image21,E1,C4,6
image21,E1,C5,6
image22,E1,C1,6
image22,E1,C2,6
image22,E1,C3,6
image22,E1,C4,6
image22,E1,C5,6
image23,E1,C1,7
image23,E1,C2,7
image23,E1,C3,7
image23,E1,C4,7
image23,E1,C5,7
image24,E1,C1,6
image24,E1,C2,5
image24,E1,C3,5
image24,E1,C4,6
image24,E1,C5,6
image25,E1,C1,5
image25,E1,C2,5
image25,E1,C3,5
image25,E1,C4,5
image25,E1,C5,5
image26,E1,C1,5
image26,E1,C2,4
image26,E1,C3,4
image26,E1,C4,5
image26,E1,C5,4
image27,E1,C1,5
image27,E1,C2,5
image27,E1,C3,4
image27,E1,C4,5
image27,E1,C5,5
image28,E1,C1,6
image28,E1,C2,5
image28,E1,C3,6
image28,E1,C4,6
image28,E1,C5,6
image29,E1,C1,6
image29,E1,C2,7
image29,E1,C3,6
image29,E1,C4,7
image29,E1,C5,7
