work_id,rater_id,method,dimension,rating
image01,R1,direct,actionability,3
image01,R2,direct,actionability,4
image01,R3,direct,actionability,1
image01,R1,direct,pedagogical,3
image01,R2,direct,pedagogical,3
image01,R3,direct,pedagogical,2
image01,R1,direct,relevance,1
image01,R2,direct,relevance,3
image01,R3,direct,relevance,1
image01,R1,direct,specificity,2
image01,R2,direct,specificity,3
image01,R3,direct,specificity,2
image01,R1,gdeval,actionability,4
image01,R2,gdeval,actionability,5
image01,R3,gdeval,actionability,5
image01,R1,gdeval,pedagogical,5
image01,R2,gdeval,pedagogical,5
image01,R3,gdeval,pedagogical,5
image01,R1,gdeval,relevance,5
image01,R2,gdeval,relevance,5
image01,R3,gdeval,relevance,4
image01,R1,gdeval,specificity,4
image01,R2,gdeval,specificity,5
image01,R3,gdeval,specificity,4
image01,R1,rubric,actionability,3
image01,R2,rubric,actionability,4
image01,R3,rubric,actionability,4
image01,R1,rubric,pedagogical,2
image01,R2,rubric,pedagogical,4
image01,R3,rubric,pedagogical,4
image01,R1,rubric,relevance,4
image01,R2,rubric,relevance,4
image01,R3,rubric,relevance,3
image01,R1,rubric,specificity,3
image01,R2,rubric,specificity,4
image01,R3,rubric,specificity,3
image02,R1,direct,actionability,1
image02,R2,direct,actionability,4
image02,R3,direct,actionability,1
image02,R1,direct,pedagogical,2
image02,R2,direct,pedagogical,3
image02,R3,direct,pedagogical,1
image02,R1,direct,relevance,2
image02,R2,direct,relevance,3
image02,R3,direct,relevance,2
image02,R1,direct,specificity,2
image02,R2,direct,specificity,3
image02,R3,direct,specificity,2
image02,R1,gdeval,actionability,5
image02,R2,gdeval,actionability,5
image02,R3,gdeval,actionability,5
image02,R1,gdeval,pedagogical,5
image02,R2,gdeval,pedagogical,5
image02,R3,gdeval,pedagogical,5
image02,R1,gdeval,relevance,4
image02,R2,gdeval,relevance,5
image02,R3,gdeval,relevance,5
image02,R1,gdeval,specificity,4
image02,R2,gdeval,specificity,5
image02,R3,gdeval,specificity,5
image02,R1,rubric,actionability,3
image02,R2,rubric,actionability,4
image02,R3,rubric,actionability,3
image02,R1,rubric,pedagogical,3
image02,R2,rubric,pedagogical,4
image02,R3,rubric,pedagogical,3
image02,R1,rubric,relevance,3
image02,R2,rubric,relevance,4
image02,R3,rubric,relevance,3
image02,R1,rubric,specificity,3
image02,R2,rubric,specificity,4
image02,R3,rubric,specificity,4
image03,R1,direct,actionability,3
image03,R2,direct,actionability,4
image03,R3,direct,actionability,2
image03,R1,direct,pedagogical,3
image03,R2,direct,pedagogical,3
image03,R3,direct,pedagogical,2
image03,R1,direct,relevance,3
image03,R2,direct,relevance,3
image03,R3,direct,relevance,2
image03,R1,direct,specificity,3
image03,R2,direct,specificity,3
image03,R3,direct,specificity,4
image03,R1,gdeval,actionability,5
image03,R2,gdeval,actionability,4
image03,R3,gdeval,actionability,5
image03,R1,gdeval,pedagogical,4
image03,R2,gdeval,pedagogical,4
image03,R3,gdeval,pedagogical,5
image03,R1,gdeval,relevance,5
image03,R2,gdeval,relevance,4
image03,R3,gdeval,relevance,5
image03,R1,gdeval,specificity,4
image03,R2,gdeval,specificity,4
image03,R3,gdeval,specificity,4
image03,R1,rubric,actionability,3
image03,R2,rubric,actionability,4
image03,R3,rubric,actionability,4
image03,R1,rubric,pedagogical,4
image03,R2,rubric,pedagogical,4
image03,R3,rubric,pedagogical,4
image03,R1,rubric,relevance,3
image03,R2,rubric,relevance,4
image03,R3,rubric,relevance,3
image03,R1,rubric,specificity,3
image03,R2,rubric,specificity,4
image03,R3,rubric,specificity,4
image04,R1,direct,actionability,3
image04,R2,direct,actionability,4
image04,R3,direct,actionability,2
image04,R1,direct,pedagogical,3
image04,R2,direct,pedagogical,3
image04,R3,direct,pedagogical,1
image04,R1,direct,relevance,2
image04,R2,direct,relevance,3
image04,R3,direct,relevance,2
image04,R1,direct,specificity,3
image04,R2,direct,specificity,3
image04,R3,direct,specificity,1
image04,R1,gdeval,actionability,5
image04,R2,gdeval,actionability,5
image04,R3,gdeval,actionability,5
image04,R1,gdeval,pedagogical,5
image04,R2,gdeval,pedagogical,5
image04,R3,gdeval,pedagogical,5
image04,R1,gdeval,relevance,4
image04,R2,gdeval,relevance,5
image04,R3,gdeval,relevance,5
image04,R1,gdeval,specificity,5
image04,R2,gdeval,specificity,5
image04,R3,gdeval,specificity,5
image04,R1,rubric,actionability,3
image04,R2,rubric,actionability,4
image04,R3,rubric,actionability,4
image04,R1,rubric,pedagogical,3
image04,R2,rubric,pedagogical,4
image04,R3,rubric,pedagogical,3
image04,R1,rubric,relevance,3
image04,R2,rubric,relevance,4
image04,R3,rubric,relevance,4
image04,R1,rubric,specificity,3
image04,R2,rubric,specificity,4
image04,R3,rubric,specificity,4
image05,R1,direct,actionability,3
image05,R2,direct,actionability,4
image05,R3,direct,actionability,3
image05,R1,direct,pedagogical,3
image05,R2,direct,pedagogical,3
image05,R3,direct,pedagogical,2
image05,R1,direct,relevance,3
image05,R2,direct,relevance,3
image05,R3,direct,relevance,3
image05,R1,direct,specificity,3
image05,R2,direct,specificity,3
image05,R3,direct,specificity,4
image05,R1,gdeval,actionability,4
image05,R2,gdeval,actionability,5
image05,R3,gdeval,actionability,5
image05,R1,gdeval,pedagogical,5
image05,R2,gdeval,pedagogical,5
image05,R3,gdeval,pedagogical,5
image05,R1,gdeval,relevance,4
image05,R2,gdeval,relevance,5
image05,R3,gdeval,relevance,5
image05,R1,gdeval,specificity,5
image05,R2,gdeval,specificity,5
image05,R3,gdeval,specificity,5
image05,R1,rubric,actionability,4
image05,R2,rubric,actionability,4
image05,R3,rubric,actionability,2
image05,R1,rubric,pedagogical,4
image05,R2,rubric,pedagogical,4
image05,R3,rubric,pedagogical,1
image05,R1,rubric,relevance,5
image05,R2,rubric,relevance,4
image05,R3,rubric,relevance,2
image05,R1,rubric,specificity,5
image05,R2,rubric,specificity,4
image05,R3,rubric,specificity,4
image06,R1,direct,actionability,3
image06,R2,direct,actionability,4
image06,R3,direct,actionability,1
image06,R1,direct,pedagogical,3
image06,R2,direct,pedagogical,3
image06,R3,direct,pedagogical,1
